"id","category","organization","route","fit","status","next_action","deadline","owner","contact","source","last_verified","send_gate","notes"
"OPP-008","startup-grant","EXIST","Gründungsstipendium","conditional","LEGAL_GATE","Ask TUC service whether Sahar is innovative/economic enough","rolling-via-university","Mo + TUC","gruendungsservice@tu-clausthal.de","https://exist.de/programm/gruendungsstipendium/","2026-07-12","Mo chooses startup track and rights/employment clear","Conflicts with current not-a-business promise unless model revised"
"OPP-009","oss-grant","Prototype Fund","2026 cohort 03","low-medium","WATCH","Re-evaluate only if reusable secure offline-pack infrastructure is genuine core","2026-10-01_to_2026-11-30_expected","Mo","info@prototypefund.de","https://www.prototypefund.de/bewerbung/","2026-07-12","Self-employment/leave or team GbR legal gate","Current focus data security and software infrastructure; do not contort Sahar"
"OPP-010","foundation","Aktion Mensch Stiftung","digital participation model project","conditional-through-nonprofit","PARTNER_REQUIRED","Check fit only after nonprofit partner and accessibility scope","rolling-concept","Partner","application portal","https://www.aktion-mensch.de/foerderung/foerderangebote/aktion-mensch-stiftung","2026-07-12","German nonprofit applicant","Current foundation focus is inclusion/digital participation; Sahar needs clearer inclusion fit"
"OPP-011","foundation","Deutsches Hilfswerk","digital social innovation","conditional-through-nonprofit","WATCH","Track next submission round","next-round-unknown","Partner","foerderportal@deutsches-hilfswerk.de","https://www.fernsehlotterie.de/Stiftung/digitalisierung","2026-07-12","German nonprofit plus co-finance and prior-start rule","2026 autumn-decision round submission closed 2026-07-01"
"OPP-012","donations","Betterplace","partner-hosted project fundraising","medium-through-partner","PARTNER_REQUIRED","Use after grant-holding German nonprofit agrees","rolling","Partner","platform","https://support.betterplace.org/hc/de/articles/6255452393884-Wer-darf-eine-Organisation-und-ein-Projekt-anlegen","2026-07-12","German charity/public-body verification","Channel not funder; partner must account for funds"
"OPP-013","oss-grant","NLnet","NGI Zero Commons Fund","closed","CLOSED","None","closed-2026-06-01","none","none","https://nlnet.nl/commonsfund/index.html","2026-07-12","none","Final call closed; do not spend time"
"MED-001","media","TU Clausthal Press Office","local university proof story","high-after-gates","WAITING","Prepare press kit after corrected README and release/demo","milestone-based","Codex draft / Mo approve","presse@tu-clausthal.de","https://www.presse.tu-clausthal.de/ueber-uns/kontakt","2026-07-12","Mo approves claims and founder bio","Best first media route"
"MED-002","media","Goslarsche Zeitung","Clausthal local story","high-after-gates","WAITING","Pitch after device test and public demo","milestone-based","Codex draft / Mo approve","redaktion.clausthal@goslarsche-zeitung.de","https://www.goslarsche.de/Verlag/Geschaeftsstellen","2026-07-12","Mo approves pitch","Keep prototype wording"
"MED-003","media","NDR 1 Niedersachsen","regional radio","medium-after-gates","WAITING","Pitch after partner or expert review","milestone-based","Codex draft / Mo approve","info@ndr1niedersachsen.de","https://www.ndr.de/ndr1niedersachsen/kontakt","2026-07-12","Mo approves pitch","Regional human-interest story only with evidence"
"MED-004","media","Deutschlandfunk Campus & Karriere","education programme","high-after-pilot","WAITING","Pitch learning from pilot not app promotion","post-pilot","Codex draft / Mo approve","campus@deutschlandfunk.de","https://www.deutschlandfunk.de/campus-und-karriere-whatsapp-100.html","2026-07-12","Partner and Mo approve findings","National reach; needs real evidence"
"MED-005","media","t3n","technology and social innovation","medium-after-release","WAITING","Pitch privacy-first/offline architecture after release","post-release","Codex draft / Mo approve","redaktion@t3n.de","https://t3n.de/presse/presseinformationen/","2026-07-12","Mo approves pitch","Technical story needs live demo and maintainer plan"
"MED-006","media","kohero","migration perspectives","high-after-partner","WAITING","Invite critical migrant-perspective story after partner review","post-partner","Codex draft / Mo approve","team@kohero-magazin.de","https://www.kohero-magazin.de/faq/","2026-07-12","Partner and Mo approve story","Center affected voices; do not instrumentalize children"
